"id","ACTIVITY","SUBACTIVITY","TASK","TITLE","ARCHETYPE","METHODS","KEYWORDS","SYNTAX","SOURCES","URL","ICON","LAST_UPDATE"
97,"7-charts","1-correlation","3-heatmap","ghg-emissions-by-country","ghg-emissions-by-country","heatmap","ghg emissions","geom_tile","engagethechain","content/7-charts/1-correlation/3-heatmap/ghg-emissions-by-country.html","assets/symbols/7-charts/3-heatmap.svg",2021-11-10
98,"7-charts","1-correlation","4-scatter","ideas-factories","ideas-factories","scatter","innovation GII","countrycode geom_smooth scale_y_reverse","Economist Cornell INSEAD WIPO","content/7-charts/1-correlation/4-scatter/ideas-factories.html","assets/symbols/7-charts/4-scatter.svg",2021-11-10
99,"7-charts","1-correlation","7-scatter-jitter","citation-rates-for-speeding-stops","citation-rates-for-speeding-stops","scatter-jitter","police citation rates speeding stops race","geom_point scale_shape_manual facet_grid","Stanford Open Policing Project TidyTuesday","content/7-charts/1-correlation/7-scatter-jitter/citation-rates-for-speeding-stops.html","assets/symbols/7-charts/7-scatter-jitter.svg",2021-11-10
100,"7-charts","1-correlation","8-scatter-polar","women-in-space","women-in-space","scatter-polar","women space astronaut","geom_arc","TidyTuesday","content/7-charts/1-correlation/8-scatter-polar/women-in-space.html","assets/symbols/7-charts/8-scatter-polar.svg",2021-11-10
101,"7-charts","1-correlation","9-scatter-quadrant","infectious-disease","infectious-disease","scatter-quadrant","infectious disease quadrant deadliness contagiousness transmission","scale_shape_manual coord_cartesian geom_vline","Information is Beautiful","content/7-charts/1-correlation/9-scatter-quadrant/infectious-disease.html","assets/symbols/7-charts/9-scatter-quadrant.svg",2021-11-10
102,"7-charts","1-correlation","11-ternary","opinion-on-brexit","opinion-on-brexit","ternary","brexit","ggtern coord_tern","Economist","content/7-charts/1-correlation/11-ternary/opinion-on-brexit.html","assets/symbols/7-charts/11-ternary.svg",2021-11-10
103,"7-charts","1-correlation","12-ternary-facet","usda-food-data-by-group","usda-food-data-by-group","ternary-facet","food protein carbohydrates fat","ggtern coord_tern","USDA","content/7-charts/1-correlation/12-ternary-facet/usda-food-data-by-group.html","assets/symbols/7-charts/12-ternary-facet.svg",2021-11-10
104,"7-charts","2-deviation","1-bar-divergent","world-cuisine-preferences","world-cuisine-preferences","bar-divergent","cuisine diet fast food","gsub ifelse geom_vline","Economist Journal of Cultural Economics","content/7-charts/2-deviation/1-bar-divergent/world-cuisine-preferences.html","assets/symbols/7-charts/1-bar-divergent.svg",2021-11-10
105,"7-charts","2-deviation","3-butterfly","cancer-by-hdi","cancer-by-hdi","butterfly","WHO Cancer","geom_bar","GLOBOCAN","content/7-charts/2-deviation/3-butterfly/cancer-by-hdi.html","assets/symbols/7-charts/3-butterfly.svg",2021-11-10
106,"7-charts","3-distribution","2-biplot","better-life-index","better-life-index","biplot","oecd better-life","fviz_pca prcomp","OECD","content/7-charts/3-distribution/2-biplot/better-life-index.html","assets/symbols/7-charts/2-biplot.svg",2021-11-10
107,"7-charts","3-distribution","2-biplot","human-development-index","human-development-index","biplot","hdi gni school life-expectancy","fviz_pca prcomp","UNDP","content/7-charts/3-distribution/2-biplot/human-development-index.html","assets/symbols/7-charts/2-biplot.svg",2021-11-10
108,"7-charts","3-distribution","4-box-whisker","unpaid-care-and-domestic-work-by-region","unpaid-care-and-domestic-work-by-region","box-whisker","unpaid-labor domestic-work care","geom_dotplot geom_boxplot","UNWomen","content/7-charts/3-distribution/4-box-whisker/unpaid-care-and-domestic-work-by-region.html","assets/symbols/7-charts/4-box-whisker.svg",2021-11-10
109,"7-charts","3-distribution","5-density","corruption-perception-index","corruption-perception-index","density","corruption cpi","stat_halfeye stat_dotsinterval","Transparency-International","content/7-charts/3-distribution/5-density/corruption-perception-index.html","assets/symbols/7-charts/5-density.svg",2021-11-10
110,"7-charts","3-distribution","5-density","parental-education-student-scores","parental-education-student-scores","density","test-scores parents","stat_slab stat_dotsinterval","Kaggle","content/7-charts/3-distribution/5-density/parental-education-student-scores.html","assets/symbols/7-charts/5-density.svg",2021-11-10
111,"7-charts","3-distribution","6-dumbbell","expensive-weddings","expensive-weddings","dumbell","weddings","geom_segment EmojiOne","Economist","content/7-charts/3-distribution/6-dumbbell/expensive-weddings.html","assets/symbols/7-charts/6-dumbbell.svg",2021-11-10
112,"7-charts","3-distribution","6-dumbbell","fastest-growing-brands","fastest-growing-brands","dumbell","brands","geom_segment","Visual-Capitalist","content/7-charts/3-distribution/6-dumbbell/fastest-growing-brands.html","assets/symbols/7-charts/6-dumbbell.svg",2021-11-10
113,"7-charts","3-distribution","6-dumbbell","gender-pay-gap","gender-pay-gap","dumbell","wage gender","geom_segment  geom_point","Information-Is-Beautiful","content/7-charts/3-distribution/6-dumbbell/gender-pay-gap.html","assets/symbols/7-charts/6-dumbbell.svg",2021-11-10
114,"7-charts","3-distribution","6-dumbbell","teacher-worth","teacher-worth","dumbell","teacher wage","geom_segment geom_point scale_shape_manual dollar_format dup_axis","OECD","content/7-charts/3-distribution/6-dumbbell/teacher-worth.html","assets/symbols/7-charts/6-dumbbell.svg",2021-11-10
115,"7-charts","3-distribution","6-dumbbell","poverty-rates-among-lone-parents","poverty-rates-among-lone-parents","dumbell","poverty single-parent women","geom_segment  geom_point","UNWomen","content/7-charts/3-distribution/6-dumbbell/poverty-rates-among-lone-parents.html","assets/symbols/7-charts/6-dumbbell.svg",2021-11-10
116,"7-charts","3-distribution","8-population-pyramid","older-versus-younger","older-versus-younger","population-pyramid","age gender population","geom_step","Global-Burden-of-Disease","content/7-charts/3-distribution/8-population-pyramid/older-versus-younger.html","assets/symbols/7-charts/8-population-pyramid.svg",2021-11-10
117,"7-charts","3-distribution","9-range","bulging-waistlines","bulging-waistlines","range","bulging waistline overweight obese BMI","full_join geom_point geom_segment vline","Our World in Data","content/7-charts/3-distribution/9-range/bulging-waistlines.html","assets/symbols/7-charts/9-range.svg",2021-11-10
118,"7-charts","4-magnitude","1-coxcomb","nightingale-rose","nightingale-rose","coxcomb","nightingale rose diagram","geom_bar scale_y_sqrt coord_polar","History-of-Information","content/7-charts/4-magnitude/1-coxcomb/nightingale-rose.html","assets/symbols/7-charts/1-coxcomb.svg",2021-11-10
119,"7-charts","4-magnitude","2-bar-dot","percentage-of-females-married-by-18","percentage-of-females-married-by-18","bar-dot","marriage underage female gender","geom_bar geom_point","Makeover Monday","content/7-charts/4-magnitude/2-bar-dot/percentage-of-females-married-by-18.html","assets/symbols/7-charts/2-bar-dot.svg",2021-11-10
120,"7-charts","4-magnitude","5-bar-horizontal-facet","milk-environmental-impact","milk-environmental-impact","bar-horizontal-facet","milk cow environment climate change","geom_col facet_wrap","BBC","content/7-charts/4-magnitude/5-bar-horizontal-facet/milk-environmental-impact.html","assets/symbols/7-charts/5-bar-horizontal-facet.svg",2021-11-10
121,"7-charts","4-magnitude","6-bar-horizontal-grouped","vietnam-organic-market","vietnam-organic-market","bar-horizontal-grouped","vietnam organic food","geom_bar fill","USDA","content/7-charts/4-magnitude/6-bar-horizontal-grouped/vietnam-organic-market.html","assets/symbols/7-charts/6-bar-horizontal-grouped.svg",2021-11-10
122,"7-charts","4-magnitude","8-bar-horizontal-stacked","environmental-impact-of-food-by-life-cycle-stage","environmental-impact-of-food-by-life-cycle-stage","bar-horizontal-stacked","carbon footprint food meat greenhouse gas emissions","geom_bar geom_segment geom_text annotate","Our World in Data","content/7-charts/4-magnitude/8-bar-horizontal-stacked/environmental-impact-of-food-by-life-cycle-stage.html","assets/symbols/7-charts/8-bar-horizontal-stacked.svg",2021-11-10
123,"7-charts","4-magnitude","18-bar-vertical-facet","child-marriage","child-marriage","bar-vertical-facet","child marriage underage","geom_bar facet_wrap","UNICEF","content/7-charts/4-magnitude/18-bar-vertical-facet/child-marriage.html","assets/symbols/7-charts/18-bar-vertical-facet.svg",2021-11-10
124,"7-charts","4-magnitude","19-bar-vertical-grouped","milk-environmental-impact-grouped","milk-environmental-impact-grouped","bar-vertical-grouped","milk cow environment climate change","geom_col facet_wrap","BBC","content/7-charts/4-magnitude/19-bar-vertical-grouped/milk-environmental-impact-grouped.html","assets/symbols/7-charts/19-bar-vertical-grouped.svg",2021-11-10
125,"7-charts","4-magnitude","20-bar-vertical-negative","global-homicide-rates","global-homicide-rates","bar-vertical-negative","homicide country comparison murder","geom_bar","World Bank","content/7-charts/4-magnitude/20-bar-vertical-negative/global-homicide-rates.html","assets/symbols/7-charts/20-bar-vertical-negative.svg",2021-11-10
126,"7-charts","4-magnitude","28-mekko-shifted","learning-poverty","learning-poverty","mekko-shifted","learning outcome poverty low income middle income countries","geom_rect","World Bank","content/7-charts/4-magnitude/28-mekko-shifted/learning-poverty.html","assets/symbols/7-charts/28-mekko-shifted.svg",2021-11-10
